epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.886057,2.00534,5.78598,1.88273,0,0,0,0,1.15911,5.49603,1.66757,0,0,0
2,1.39259,2.08272,5.78633,2.08208,0,0,0,0,1.18701,5.65707,1.69549,2.39974e-06,2.39974e-06,2.39974e-06
3,1.97295,2.02081,5.81417,1.98399,0,0,0,0,1.29523,5.63074,1.70027,4.71896e-06,4.71896e-06,4.71896e-06
4,2.51912,1.68594,5.94525,1.62769,0,0,0,0,1.38585,5.64984,1.70356,6.95766e-06,6.95766e-06,6.95766e-06
5,3.04652,1.9566,5.98953,1.89651,0,0,0,0,1.57338,5.61132,1.75029,9.11584e-06,9.11584e-06,9.11584e-06
6,3.56643,1.92648,6.21286,1.897,0,0,0,0,1.65525,5.7143,1.76582,1.11935e-05,1.11935e-05,1.11935e-05
7,4.15446,2.10692,5.39401,1.89397,0,0,0,0,1.62251,5.64371,1.70547,1.31906e-05,1.31906e-05,1.31906e-05
8,4.9581,2.23686,5.25514,2.00164,0,0,0,0,1.48822,5.533,1.62023,1.51073e-05,1.51073e-05,1.51073e-05
9,5.78855,2.22296,5.30628,2.01949,0,0,0,0,1.22405,5.7432,1.55254,1.69434e-05,1.69434e-05,1.69434e-05
10,6.6716,2.0022,4.77228,1.76649,0,0,0,0,1.13503,5.57964,1.49319,1.86989e-05,1.86989e-05,1.86989e-05
11,7.48558,1.94315,4.24427,1.71794,0,0,0,0,1.10803,5.38565,1.45823,2.0374e-05,2.0374e-05,2.0374e-05
12,8.31051,1.95635,4.05512,1.70515,0,0,0,0,1.03355,5.51401,1.40692,2.19685e-05,2.19685e-05,2.19685e-05
13,9.11876,1.69994,4.58868,1.70581,0.02273,1,0.07654,0.02424,1.14693,5.51546,1.39751,2.34826e-05,2.34826e-05,2.34826e-05
14,10.0605,1.90757,4.23776,1.85112,0.01923,1,0.0995,0.08955,0.89447,5.97505,1.35631,2.49161e-05,2.49161e-05,2.49161e-05
15,10.9175,1.69239,3.57741,1.72933,0.04167,1,0.16583,0.14925,0.99229,6.89215,1.35846,2.6269e-05,2.6269e-05,2.6269e-05
16,11.7854,1.6027,3.3944,1.54197,0.08564,1,0.16583,0.11608,1.34374,6.33444,1.39863,2.75415e-05,2.75415e-05,2.75415e-05
17,12.4786,1.90958,3.86828,1.82564,0.14422,1,0.199,0.10181,1.42226,4.83676,1.39898,2.87334e-05,2.87334e-05,2.87334e-05
18,13.1419,1.91019,2.81566,1.82487,0.14422,1,0.199,0.10181,1.42226,4.83676,1.39898,2.98449e-05,2.98449e-05,2.98449e-05
19,13.8188,1.62603,2.71942,1.58297,0.15951,1,0.199,0.1194,1.36255,5.6894,1.36387,3.08758e-05,3.08758e-05,3.08758e-05
20,14.4784,1.76876,3.47271,1.68798,0.15951,1,0.199,0.1194,1.36255,5.6894,1.36387,3.18261e-05,3.18261e-05,3.18261e-05
21,15.1865,1.49992,2.59646,1.5291,0.14039,1,0.16583,0.12319,1.23102,8.09119,1.32018,3.2696e-05,3.2696e-05,3.2696e-05
22,15.8689,1.65911,2.54102,1.59479,0.14039,1,0.16583,0.12319,1.23102,8.09119,1.32018,3.34853e-05,3.34853e-05,3.34853e-05
23,16.5498,1.70455,2.70574,1.73565,0.15454,1,0.199,0.0796,1.25749,8.53164,1.30527,3.41942e-05,3.41942e-05,3.41942e-05
24,17.2211,1.47674,2.27598,1.49685,0.15454,1,0.199,0.0796,1.25749,8.53164,1.30527,3.48225e-05,3.48225e-05,3.48225e-05
25,17.9141,1.69242,2.51001,1.59815,0.16485,1,0.199,0.08445,1.36703,8.08135,1.32053,3.53702e-05,3.53702e-05,3.53702e-05
26,18.6297,1.5659,2.4937,1.66218,0.16485,1,0.199,0.08445,1.36703,8.08135,1.32053,3.58375e-05,3.58375e-05,3.58375e-05
27,19.3249,1.71956,3.16323,1.7302,0.2855,1,0.4975,0.24875,1.66272,10.6749,1.39656,3.62242e-05,3.62242e-05,3.62242e-05
28,20.1372,1.58946,2.14306,1.53913,0.2855,1,0.4975,0.24875,1.66272,10.6749,1.39656,3.65305e-05,3.65305e-05,3.65305e-05
29,20.9531,1.57443,2.32583,1.56862,0.31985,1,0.995,0.4975,1.88777,13.1575,1.47733,3.67562e-05,3.67562e-05,3.67562e-05
30,21.7135,1.2545,1.76842,1.4346,0.31985,1,0.995,0.4975,1.88777,13.1575,1.47733,3.69013e-05,3.69013e-05,3.69013e-05
31,22.5107,1.55166,2.23801,1.49054,0.50688,1,0.995,0.42288,2.05468,14.2,1.55682,3.6966e-05,3.6966e-05,3.6966e-05
32,23.1732,1.47448,2.38267,1.48877,0.50688,1,0.995,0.42288,2.05468,14.2,1.55682,3.69501e-05,3.69501e-05,3.69501e-05
33,23.8647,1.26575,1.95186,1.50678,0.47367,1,0.995,0.4975,2.11282,12.005,1.57967,3.68538e-05,3.68538e-05,3.68538e-05
34,24.6521,1.42987,1.96676,1.45376,0.47367,1,0.995,0.4975,2.11282,12.005,1.57967,3.66769e-05,3.66769e-05,3.66769e-05
35,25.4476,1.31658,2.13881,1.3556,0.56909,1,0.995,0.4975,2.09635,9.33078,1.56914,3.64194e-05,3.64194e-05,3.64194e-05
36,26.2583,1.38409,1.98195,1.47337,0.56909,1,0.995,0.4975,2.09635,9.33078,1.56914,3.60815e-05,3.60815e-05,3.60815e-05
37,27.227,1.31202,2.03726,1.39976,0.72365,1,0.995,0.44775,2.07165,8.17302,1.56619,3.5663e-05,3.5663e-05,3.5663e-05
38,27.9037,1.08324,1.93997,1.34107,0.72365,1,0.995,0.44775,2.07165,8.17302,1.56619,3.51641e-05,3.51641e-05,3.51641e-05
39,28.6075,1.18965,1.91392,1.38686,0.79465,1,0.995,0.4975,1.84476,6.25699,1.47145,3.45846e-05,3.45846e-05,3.45846e-05
40,29.372,1.27091,1.5164,1.28817,0.79465,1,0.995,0.4975,1.84476,6.25699,1.47145,3.39245e-05,3.39245e-05,3.39245e-05
41,30.2359,1.50452,1.71092,1.35853,0.89553,1,0.995,0.4975,1.65504,4.74544,1.3996,3.3184e-05,3.3184e-05,3.3184e-05
42,31.0075,1.1029,1.75954,1.33498,0.89553,1,0.995,0.4975,1.65504,4.74544,1.3996,3.23629e-05,3.23629e-05,3.23629e-05
43,31.8486,1.43034,1.63293,1.34832,0.92869,1,0.995,0.6965,1.52865,3.69439,1.35746,3.14614e-05,3.14614e-05,3.14614e-05
44,32.6288,1.09568,1.48296,1.2655,0.92869,1,0.995,0.6965,1.52865,3.69439,1.35746,3.04793e-05,3.04793e-05,3.04793e-05
45,33.4519,1.17706,1.45581,1.21945,0.93794,1,0.995,0.6965,1.42806,2.81953,1.32812,2.94166e-05,2.94166e-05,2.94166e-05
46,34.3442,1.22198,1.85414,1.41002,0.93794,1,0.995,0.6965,1.42806,2.81953,1.32812,2.82735e-05,2.82735e-05,2.82735e-05
47,35.1945,1.32882,1.64161,1.31626,0.94204,1,0.995,0.6965,1.33516,2.32763,1.30518,2.70498e-05,2.70498e-05,2.70498e-05
48,36.0448,1.0991,1.51193,1.24809,0.94204,1,0.995,0.6965,1.33516,2.32763,1.30518,2.57457e-05,2.57457e-05,2.57457e-05
49,36.9341,1.20578,1.60088,1.25761,0.93547,1,0.995,0.6965,1.27252,2.05437,1.29134,2.4361e-05,2.4361e-05,2.4361e-05
